name,市区町村,店舗数
ZIPドラック,和歌山市,4
ZIPドラック,岩出市,1
ZIPドラック,御坊市,1
ZIPドラック,橋本市,1
ZIPドラック,紀の川市,2
welcia,和歌山市,2
welcia,岩出市,1
welcia,橋本市,2
キリン堂,上富田町,1
キリン堂,印南町,1
キリン堂,御坊市,3
キリン堂,田辺市,3
コクミンドラック,和歌山市,1
ココカラファイン,みなべ町,1
ココカラファイン,印南町,1
ココカラファイン,和歌山市,8
ココカラファイン,有田市,1
ココカラファイン,橋本市,1
ココカラファイン,海南市,1
ココカラファイン,湯浅町,1
ココカラファイン,田辺市,2
ココカラファイン,白浜町,1
ココカラファイン,紀の川市,3
コスモス,和歌山市,8
コスモス,岩出市,3
コスモス,御坊市,2
コスモス,有田川町,1
コスモス,有田市,2
コスモス,橋本市,2
コスモス,海南市,1
コスモス,湯浅町,1
コスモス,田辺市,1
コスモス,白浜町,1
コスモス,紀の川市,3
ツルハ,和歌山市,10
ツルハ,橋本市,1
ツルハ,海南市,2
ツルハ,紀の川市,1
ドラックセイムス,かつらぎ町,1
ドラックセイムス,上富田町,1
ドラックセイムス,串本町,2
ドラックセイムス,和歌山市,2
ドラックセイムス,岩出市,1
ドラックセイムス,新宮市,2
ドラックセイムス,海南市,2
ドラックセイムス,白浜町,2
ドラックセイムス,紀の川市,2
ドラックセイムス,那智勝浦町,1
マツモトキヨシ,和歌山市,1
